Day,Pair,Gross_flow,Net_flow,FX_rate
1,A->B,57.194,13.641,1.05557
1,A->C,29.881,-2.32,0.84534
1,A->D,15.591,-6.015,1.11166
1,A->E,84.589,-2.555,1.13609
1,A->F,92.786,19.953,0.70281
1,A->G,67.945,-9.935,0.80319
1,A->H,103.252,-6.487,1.02314
1,B->A,26.302,-3.191,0.95143
1,B->C,32.958,6.422,1.00254
1,B->D,72.918,0.481,0.8689
1,B->E,64.772,10.257,1.14085
1,B->F,90.044,12.246,1.11814
1,B->G,91.744,7.876,1.00431
1,B->H,53.179,-0.888,1.16848
1,C->A,36.151,-8.623,1.06886
1,C->B,47.421,-5.338,0.87254
1,C->D,92.601,-1.614,1.05499
1,C->E,104.188,10.299,0.86362
1,C->F,59.555,2.781,1.13646
1,C->G,15.296,-1.815,0.98668
1,C->H,26.287,-1.067,0.97593
1,D->A,76.495,4.388,0.89261
1,D->B,55.577,1.509,1.1774
1,D->C,49.799,1.12,0.98248
1,D->E,36.876,-0.895,0.93769
1,D->F,31.962,6.448,0.93972
1,D->G,111.426,-9.441,1.08425
1,D->H,87.193,-0.359,1.05027
1,E->A,47.15,6.453,1.0563
1,E->B,65.937,-6.911,1.0657
1,E->C,83.269,6.55,1.32682
1,E->D,154.744,-31.699,0.9466
1,E->F,105.56,-4.275,0.9174
1,E->G,78.256,8.209,0.87915
1,E->H,107.174,-4.772,1.09491
1,F->A,142.714,3.951,1.1738
1,F->B,40.288,-6.937,0.98388
1,F->C,54.591,-1.528,0.87346
1,F->D,89.621,-16.774,0.86616
1,F->E,21.42,-3.205,1.10358
1,F->G,76.455,8.235,1.112
1,F->H,178.519,-17.515,1.07954
1,G->A,78.145,6.089,0.8955
1,G->B,2.857,-2.864,1.0317
1,G->C,35.41,1.747,1.01654
1,G->D,51.273,-2.984,1.0252
1,G->E,125.914,3.631,1.12997
1,G->F,70.783,3.427,1.03437
1,G->H,20.672,1.565,1.10357
1,H->A,54.13,-3.194,1.00782
1,H->B,77.658,-7.403,1.04518
1,H->C,49.217,0.902,1.09284
1,H->D,34.55,8.295,0.7823
1,H->E,199.686,-0.39,0.95124
1,H->F,102.833,7.658,0.9345
1,H->G,114.658,-6.722,0.90841
2,A->B,166.79,-9.302,1.06279
2,A->C,31.585,-11.719,0.84304
2,A->D,17.027,-1.143,1.10302
2,A->E,76.858,7.519,1.13805
2,A->F,109.722,15.707,0.69941
2,A->G,55.19,4.017,0.80142
2,A->H,115.0,13.763,1.0213
2,B->A,30.61,-3.894,0.95447
2,B->C,25.587,2.025,0.99413
2,B->D,75.465,-1.43,0.86821
2,B->E,56.824,3.157,1.14305
2,B->F,110.663,0.026,1.11642
2,B->G,85.332,-4.019,1.00396
2,B->H,51.79,5.698,1.17281
2,C->A,,-0.727,1.06115
2,C->B,47.298,4.472,0.86621
2,C->D,91.526,4.724,1.04235
2,C->E,97.314,12.177,0.87228
2,C->F,54.608,9.186,1.12954
2,C->G,11.484,-6.39,0.98459
2,C->H,28.467,-9.152,0.97845
2,D->A,85.524,-0.439,0.89503
2,D->B,46.636,8.398,1.17133
2,D->C,58.099,-5.072,0.9762
2,D->E,,4.184,0.93563
2,D->F,33.601,6.337,0.93722
2,D->G,107.462,-30.674,1.09302
